new double[] { 0.04, 0.02, 1.04, 9.34, -25.45, -17.09, 14.36, -4.1, 26.07, 48 },
new double[] { 0.11, 0.03, 0.93, -2.81, -7.39, -10.8, 14.06, -1.76, 26.07, 52 },
new double[] { 0.07, 0.02, 1.03, -0.18, -6.53, -3.23, 14.36, -3.22, 25.49, 52 },
new double[] { 0.08, 0.04, 1.04, 0.31, -12.39, -4.7, 13.33, -3.37, 26.22, 47 },
new double[] { 0.07, 0.02, 1.09, 0.43, -46.75, -1.34, 13.04, -3.37, 25.93, 47 },
new double[] { 0.16, 0.02, 0.99, -0.18, -73.67, -2.08, 11.72, -2.93, 24.61, 65 },
new double[] { 0.24, 0.02, 0.93, -0.06, -38.15, -2.01, 10.69, -4.25, 24.17, 40 },
new double[] { 0.24, 0.02, 1, -0.06, -34.12, -1.22, 11.28, -3.08, 24.46, 61 },
new double[] { 0.28, 0.02, 1.02, 0.12, -47.91, -1.28, 9.67, -4.1, 23.44, 47 },
new double[] { 0.34, 0.02, 0.9, 0.18, -33.81, -1.1, 7.76, -3.66, 23, 52 },
new double[] { 0.34, 0.02, 0.99, -0.37, -36.07, -2.2, 7.91, -4.39, 23.73, 48 },
new double[] { 0.39, 0.03, 0.94, -0.98, -51.45, -3.3, 6.01, -3.96, 22.41, 47 },
new double[] { 0.45, 0.02, 0.86, -0.18, -25.21, -1.1, 6.45, -4.39, 22.27, 48 },
new double[] { 0.44, 0.02, 0.95, -0.18, -17.7, -0.12, 6.88, -5.71, 22.71, 56 },
new double[] { 0.42, -0.05, 1.07, -4.39, -44.37, -9.64, 5.27, -4.69, 20.8, 47 },
new double[] { 0.52, 0.04, 0.87, -6.96, -71.72, -13.31, 4.83, -4.83, 23.29, 60 },
new double[] { 0.58, 0.03, 0.79, 0.49, -38.76, -0.85, 4.1, -4.69, 21.09, 39 },
new double[] { 0.57, 0.02, 0.9, 0.06, -8.61, -0.79, 1.9, -5.71, 21.83, 54 },
new double[] { 0.6, 0.01, 0.82, 0.49, -8.97, -0.73, 2.93, -5.57, 22.56, 54 },
new double[] { 0.59, 0.01, 0.86, 0.18, -9.4, -0.49, 3.37, -4.25, 21.83, 37 },
